Beverage,Product,Milk,Whip,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Total_Carbohydrates,Dietary_Fiber,Sugar,Protein,Vitamin_A,Vitamin_C,Calcium,Iron,Caffeine
Caramel Frappuccino Blended Beverage with 2% Milk,Caramel Frappuccino Blended Beverage,2% Milk,No Whip,190,1.5,1,0.1,5,170,42,0,42,3,4,0,10,0,70
Caramel Frappuccino Blended Beverage with 2% Milk and Whip,Caramel Frappuccino Blended Beverage,2% Milk,Whip,290,10,6,0.3,40,180,47,0,46,3,15,0,10,0,70
Caramel Frappuccino Blended Beverage with Whole Milk,Caramel Frappuccino Blended Beverage,Whole,No Whip,200,2.5,1.5,0.1,10,160,42,0,42,3,4,0,8,0,70
Caramel Frappuccino Blended Beverage with Whole Milk and Whip,Caramel Frappuccino Blended Beverage,Whole,Whip,300,11,7,0.3,40,180,47,0,46,3,15,0,10,0,70
Caramel Frappuccino Blended Beverage with Soy Milk,Caramel Frappuccino Blended Beverage,Soy,No Whip,190,1.5,0.2,0,0,160,41,0,40,2,4,0,10,4,70
Caramel Frappuccino Blended Beverage with Soy Milk and Whip,Caramel Frappuccino Blended Beverage,Soy,Whip,280,10,6,0.2,30,170,46,0,45,3,15,0,10,4,70
Caramel Frappuccino Blended Beverage with Coconut Milk,Caramel Frappuccino Blended Beverage,Coconut,No Whip,180,2,1.5,0,0,160,41,0,40,0.4,0,0,0,0,70
Caramel Frappuccino Blended Beverage with Coconut Milk and Whip,Caramel Frappuccino Blended Beverage,Coconut,Whip,280,10,7,0.2,30,170,46,0,45,1,10,0,2,0,70
Coffee Frappuccino Blended Beverage with Nonfat Milk,Coffee Frappuccino Blended Beverage,Nonfat,,160,0.1,0,0,0,160,36,0,36,3,4,0,10,0,70
Coffee Frappuccino Blended Beverage with 2% Milk,Coffee Frappuccino Blended Beverage,2% Milk,,170,1.5,1,0,5,160,36,0,36,3,4,0,8,0,70
Coffee Frappuccino Blended Beverage with Whole Milk,Coffee Frappuccino Blended Beverage,Whole,,180,2.5,1.5,0.1,10,160,36,0,36,3,4,0,8,0,70
Coffee Frappuccino Blended Beverage with Soy Milk,Coffee Frappuccino Blended Beverage,Soy,,160,1.5,0.2,0,0,150,35,0,34,2,4,0,10,4,70
Coffee Frappuccino Blended Beverage with Coconut Milk,Coffee Frappuccino Blended Beverage,Coconut,,160,2,1.5,0,0,150,36,0,35,0.4,0,0,0,0,70
Espresso Frappuccino Blended Beverage with Nonfat Milk,Espresso Frappuccino Blended Beverage,Nonfat,,150,0,0,0,0,135,34,0,33,2,2,0,6,0,130
Espresso Frappuccino Blended Beverage with 2% Milk,Espresso Frappuccino Blended Beverage,2% Milk,,150,1,0.5,0,5,140,34,0,33,2,2,0,6,0,130
Espresso Frappuccino Blended Beverage with Whole Milk,Espresso Frappuccino Blended Beverage,Whole,,160,1.5,1,0,5,140,34,0,33,2,2,0,6,0,130
Espresso Frappuccino Blended Beverage with Soy Milk,Espresso Frappuccino Blended Beverage,Soy,,150,1,0.1,0,0,135,33,0,31,2,2,0,6,2,130
Espresso Frappuccino Blended Beverage with Coconut Milk,Espresso Frappuccino Blended Beverage,Coconut,,150,1,1,0,0,135,34,0,32,1,0,0,0,0,130
Java Chip Frappuccino Blended Beverage with Nonfat Milk,Java Chip Frappuccino Blended Beverage,Nonfat,No Whip,230,3,2,0,0,180,47,2,44,4,4,0,10,20,75
Java Chip Frappuccino Blended Beverage with Nonfat Milk and Whip,Java Chip Frappuccino Blended Beverage,Nonfat,Whip,320,11,7,0.3,30,190,51,2,47,4,15,0,10,20,75
Java Chip Frappuccino Blended Beverage with 2% Milk,Java Chip Frappuccino Blended Beverage,2% Milk,No Whip,240,4.5,3,0.1,5,180,47,2,44,4,4,0,10,20,75
Java Chip Frappuccino Blended Beverage with 2% Milk and Whip,Java Chip Frappuccino Blended Beverage,2% Milk,Whip,330,12,8,0.3,35,190,51,2,47,4,15,0,10,20,75
Java Chip Frappuccino Blended Beverage with Whole Milk,Java Chip Frappuccino Blended Beverage,Whole,No Whip,250,5,3.5,0.1,10,180,47,2,44,4,4,0,10,20,75
Java Chip Frappuccino Blended Beverage with Whole Milk and Whip,Java Chip Frappuccino Blended Beverage,Whole,Whip,340,13,9,0.3,35,190,51,2,47,4,15,0,10,20,75
Java Chip Frappuccino Blended Beverage with Soy Milk,Java Chip Frappuccino Blended Beverage,Soy,No Whip,230,4,2.5,0,0,180,46,2,42,3,4,0,10,25,75
Java Chip Frappuccino Blended Beverage with Soy Milk and Whip,Java Chip Frappuccino Blended Beverage,Soy,Whip,320,12,7,0.3,30,180,50,2,45,4,10,0,10,25,75
Java Chip Frappuccino Blended Beverage with Coconut Milk,Java Chip Frappuccino Blended Beverage,Coconut,No Whip,230,4.5,3.5,0,0,180,46,2,43,1,0,0,2,20,75
Java Chip Frappuccino Blended Beverage with Coconut Milk and Whip,Java Chip Frappuccino Blended Beverage,Coconut,Whip,320,13,9,0.3,30,180,50,2,46,2,10,0,2,20,75
Mocha Frappuccino Blended Beverage with Nonfat Milk,Mocha Frappuccino Blended Beverage,Nonfat,No Whip,190,0.5,0.4,0,0,160,42,1,40,3,4,0,10,8,75
Mocha Frappuccino Blended Beverage with Nonfat Milk and Whip,Mocha Frappuccino Blended Beverage,Nonfat,Whip,270,9,5,0.2,30,170,45,1,42,4,15,0,10,8,75
Mocha Frappuccino Blended Beverage with 2% Milk,Mocha Frappuccino Blended Beverage,2% Milk,No Whip,200,2,1.5,0.1,5,160,42,1,40,3,4,0,10,8,75
Mocha Frappuccino Blended Beverage with 2% Milk and Whip,Mocha Frappuccino Blended Beverage,2% Milk,Whip,280,10,6,0.3,35,170,44,1,42,4,15,0,10,8,75
Mocha Frappuccino Blended Beverage with Whole Milk,Mocha Frappuccino Blended Beverage,Whole,No Whip,210,3,2,0.1,10,160,42,1,40,3,4,0,10,8,75
Mocha Frappuccino Blended Beverage with Whole Milk and Whip,Mocha Frappuccino Blended Beverage,Whole,Whip,290,11,7,0.3,35,170,44,1,42,4,15,0,10,8,75
Mocha Frappuccino Blended Beverage with Soy Milk,Mocha Frappuccino Blended Beverage,Soy,No Whip,190,2,0.5,0,0,160,41,1,38,3,4,0,10,10,75
Mocha Frappuccino Blended Beverage with Soy Milk and Whip,Mocha Frappuccino Blended Beverage,Soy,Whip,270,10,5,0.2,30,160,43,1,40,3,10,0,10,10,75
Mocha Frappuccino Blended Beverage with Coconut Milk,Mocha Frappuccino Blended Beverage,Coconut,No Whip,190,2,2,0,0,160,41,1,39,1,0,0,0,8,75
Mocha Frappuccino Blended Beverage with Coconut Milk and Whip,Mocha Frappuccino Blended Beverage,Coconut,Whip,270,10,7,0.2,30,160,43,1,41,1,10,0,2,8,75
Caffe Vanilla Frappuccino Light Blended Beverage with Nonfat Milk,Caffe Vanilla Frappuccino Light Blended Beverage,Nonfat,,140,0.1,0.1,0,0,150,31,0,30,3,4,0,8,0,65
Caramel Frappuccino Light Blended Beverage with Nonfat Milk,Caramel Frappuccino Light Blended Beverage,Nonfat,,100,0.1,0,0,0,140,23,0,23,3,4,0,8,0,65
Coffee Frappuccino Light Blended Beverage with Nonfat Milk,Coffee Frappuccino Light Blended Beverage,Nonfat,,90,0.1,0,0,0,160,20,0,19,3,4,0,10,0,70
Espresso Frappuccino Light Blended Beverage with Nonfat Milk,Espresso Frappuccino Light Blended Beverage,Nonfat,,80,0,0,0,0,130,17,0,16,2,2,0,6,0,125
Java Chip Light Frappuccino Blended Beverage with Nonfat Milk,Java Chip Light Frappuccino Blended Beverage,Nonfat,,160,3,2,0,0,170,30,2,27,4,4,0,10,20,75
Mocha Light Frappuccino Blended Beverage with Nonfat Milk,Mocha Light Frappuccino Blended Beverage,Nonfat,,120,0.5,0.4,0,0,150,24,1,23,3,4,0,10,8,70
Blended Strawberry Lemonade,Blended Strawberry Lemonade,,,160,0.1,0,0,0,120,40,0,39,0.2,0,15,2,2,0
Chai Creme Frappuccino Blended Beverage with Nonfat Milk,Chai Creme Frappuccino Blended Beverage,Nonfat,No Whip,140,0.1,0.1,0,0,150,33,0,32,4,6,0,10,0,20
Chai Creme Frappuccino Blended Beverage with Nonfat Milk and Whip,Chai Creme Frappuccino Blended Beverage,Nonfat,Whip,230,8,5,0.2,30,160,35,0,34,4,15,0,15,0,20
Chai Creme Frappuccino Blended Beverage with 2% Milk,Chai Creme Frappuccino Blended Beverage,2% Milk,No Whip,160,2,1,0.1,10,160,32,0,32,3,6,0,10,0,20
Chai Creme Frappuccino Blended Beverage with 2% Milk and Whip,Chai Creme Frappuccino Blended Beverage,2% Milk,Whip,240,10,6,0.3,40,170,35,0,34,4,15,0,15,0,20
Chai Creme Frappuccino Blended Beverage with Whole Milk,Chai Creme Frappuccino Blended Beverage,Whole,No Whip,170,3.5,2,0.1,10,150,32,0,32,3,4,0,10,0,20
Chai Creme Frappuccino Blended Beverage with Whole Milk and Whip,Chai Creme Frappuccino Blended Beverage,Whole,Whip,250,11,7,0.3,40,160,35,0,34,4,15,0,10,0,20
Chai Creme Frappuccino Blended Beverage with Soy Milk,Chai Creme Frappuccino Blended Beverage,Soy,No Whip,150,1.5,0.2,0,0,150,31,0,29,3,4,0,10,6,20
Chai Creme Frappuccino Blended Beverage with Soy Milk and Whip,Chai Creme Frappuccino Blended Beverage,Soy,Whip,230,10,5,0.2,30,160,33,1,31,3,15,0,15,6,20
Chai Creme Frappuccino Blended Beverage with Coconut Milk,Chai Creme Frappuccino Blended Beverage,Coconut,No Whip,140,2,2,0,0,150,31,0,30,0.3,0,0,0,0,20
Chai Creme Frappuccino Blended Beverage with Coconut Milk and Whip,Chai Creme Frappuccino Blended Beverage,Coconut,Whip,220,10,7,0.2,30,160,33,0,32,1,10,0,2,0,20
Double Chocolaty Chip Creme Frappuccino Blended Beverage with Nonfat Milk,Double Chocolaty Chip Creme Frappuccino Blended Beverage,Nonfat,No Whip,200,3,2.5,0,0,190,39,2,36,5,6,0,15,20,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with Nonfat Milk and Whip,Double Chocolaty Chip Creme Frappuccino Blended Beverage,Nonfat,Whip,280,11,7,0.3,30,200,42,2,39,5,15,0,15,25,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with 2% Milk,Double Chocolaty Chip Creme Frappuccino Blended Beverage,2% Milk,No Whip,210,5,3.5,0.1,10,190,38,2,35,5,6,0,15,20,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with 2% Milk and Whip,Double Chocolaty Chip Creme Frappuccino Blended Beverage,2% Milk,Whip,300,13,9,0.3,40,200,42,2,38,5,15,0,15,25,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with Whole Milk,Double Chocolaty Chip Creme Frappuccino Blended Beverage,Whole,No Whip,220,6,4,0.1,10,190,38,2,35,4,6,0,10,20,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with Whole Milk and Whip,Double Chocolaty Chip Creme Frappuccino Blended Beverage,Whole,Whip,310,14,9,0.4,40,200,42,2,38,5,15,0,15,25,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with Soy Milk,Double Chocolaty Chip Creme Frappuccino Blended Beverage,Soy,No Whip,200,4.5,2.5,0,0,180,37,2,33,4,4,0,15,25,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with Soy Milk and Whip,Double Chocolaty Chip Creme Frappuccino Blended Beverage,Soy,Whip,290,13,7,0.3,30,190,40,2,36,5,15,0,15,30,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with Coconut Milk,Double Chocolaty Chip Creme Frappuccino Blended Beverage,Coconut,No Whip,200,5,4.5,0,0,190,37,2,34,1,0,0,2,20,10
Double Chocolaty Chip Creme Frappuccino Blended Beverage with Coconut Milk and Whip,Double Chocolaty Chip Creme Frappuccino Blended Beverage,Coconut,Whip,280,13,9,0.3,30,190,41,2,37,2,10,0,2,20,10
Green Tea Creme Frappuccino Blended Beverage with Nonfat Milk,Green Tea Creme Frappuccino Blended Beverage,Nonfat,No Whip,210,0.2,0.1,0,0,170,47,1,46,4,6,10,15,2,50
Green Tea Creme Frappuccino Blended Beverage with Nonfat Milk and Whip,Green Tea Creme Frappuccino Blended Beverage,Nonfat,Whip,290,8,5,0.2,30,170,50,1,48,5,15,10,15,2,50
Green Tea Creme Frappuccino Blended Beverage with 2% Milk,Green Tea Creme Frappuccino Blended Beverage,2% Milk,No Whip,230,2.5,1.5,0.1,10,170,47,1,46,4,6,10,15,2,50
Green Tea Creme Frappuccino Blended Beverage with 2% Milk and Whip,Green Tea Creme Frappuccino Blended Beverage,2% Milk,Whip,310,10,6,0.3,40,180,50,1,48,5,15,10,15,2,50
Green Tea Creme Frappuccino Blended Beverage with Whole Milk,Green Tea Creme Frappuccino Blended Beverage,Whole,No Whip,240,3.5,2,0.1,10,170,47,1,46,4,6,10,10,2,50
Green Tea Creme Frappuccino Blended Beverage with Whole Milk and Whip,Green Tea Creme Frappuccino Blended Beverage,Whole,Whip,320,12,7,0.3,40,180,50,1,48,5,15,10,15,2,50
Green Tea Creme Frappuccino Blended Beverage with Soy Milk,Green Tea Creme Frappuccino Blended Beverage,Soy,No Whip,220,2,0.2,0,0,160,46,1,44,4,4,10,15,8,50
Green Tea Creme Frappuccino Blended Beverage with Soy Milk and Whip,Green Tea Creme Frappuccino Blended Beverage,Soy,Whip,300,10,5,0.2,30,170,48,1,45,4,15,10,15,8,50
Green Tea Creme Frappuccino Blended Beverage with Coconut Milk,Green Tea Creme Frappuccino Blended Beverage,Coconut,No Whip,210,2.5,2.5,0,0,160,46,1,44,1,0,10,2,2,50
Green Tea Creme Frappuccino Blended Beverage with Coconut Milk and Whip,Green Tea Creme Frappuccino Blended Beverage,Coconut,Whip,290,10,7,0.2,30,170,48,1,47,1,10,10,2,2,50
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with Nonfat Milk,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,Nonfat,No Whip,140,0.1,0,0,0,135,30,0,30,3,6,0,10,0,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with Nonfat Milk and Whip,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,Nonfat,Whip,220,8,5,0.2,30,140,33,0,32,3,15,0,10,0,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with 2% Milk,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,2% Milk,No Whip,150,2,1,0.1,5,140,30,0,29,3,4,0,10,0,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with 2% Milk and Whip,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,2% Milk,Whip,230,10,6,0.3,35,150,33,0,32,3,15,0,10,0,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with Whole Milk,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,Whole,No Whip,160,3,1.5,0.1,10,135,30,0,29,3,4,0,10,0,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with Whole Milk and Whip,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,Whole,Whip,240,11,7,0.3,40,140,33,0,32,3,15,0,10,0,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with Soy Milk,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,Soy,No Whip,140,1.5,0.2,0,0,130,29,0,27,2,4,0,10,4,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with Soy Milk and Whip,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,Soy,Whip,220,9,5,0.2,30,140,31,0,30,3,15,0,10,4,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with Coconut Milk,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,Coconut,No Whip,140,2,2,0,0,135,29,0,28,0.2,0,0,0,0,20
Oprah Cinnamon Chai Creme Frappuccino Blended Beverage with Coconut Milk and Whip,Oprah Cinnamon Chai Creme Frappuccino Blended Beverage,Coconut,Whip,220,10,7,0.2,30,140,31,0,30,1,10,0,2,0,20
Strawberries & Creme Frappuccino Blended Beverage with Nonfat Milk,Strawberries & Creme Frappuccino Blended Beverage,Nonfat,No Whip,170,0.1,0.1,0,0,140,38,0,37,3,6,6,10,2,0
Strawberries & Creme Frappuccino Blended Beverage with Nonfat Milk and Whip,Strawberries & Creme Frappuccino Blended Beverage,Nonfat,Whip,250,8,5,0.2,30,150,41,0,39,4,15,6,15,2,0
Strawberries & Creme Frappuccino Blended Beverage with 2% Milk,Strawberries & Creme Frappuccino Blended Beverage,2% Milk,No Whip,180,2,1,0.1,5,150,38,0,37,3,6,6,10,2,0
Strawberries & Creme Frappuccino Blended Beverage with 2% Milk and Whip,Strawberries & Creme Frappuccino Blended Beverage,2% Milk,Whip,260,10,6,0.3,35,160,40,0,39,4,15,6,15,2,0
Strawberries & Creme Frappuccino Blended Beverage with Whole Milk,Strawberries & Creme Frappuccino Blended Beverage,Whole,No Whip,190,3,1.5,0.1,10,140,38,0,37,3,4,6,10,2,0
Strawberries & Creme Frappuccino Blended Beverage with Whole Milk and Whip,Strawberries & Creme Frappuccino Blended Beverage,Whole,Whip,270,11,7,0.3,40,150,40,0,39,3,15,6,10,2,0
Strawberries & Creme Frappuccino Blended Beverage with Soy Milk,Strawberries & Creme Frappuccino Blended Beverage,Soy,No Whip,170,1.5,0.2,0,0,140,37,1,35,3,4,6,10,6,0
Strawberries & Creme Frappuccino Blended Beverage with Soy Milk and Whip,Strawberries & Creme Frappuccino Blended Beverage,Soy,Whip,250,9,5,0.2,30,150,39,1,37,3,15,6,15,6,0
Strawberries & Creme Frappuccino Blended Beverage with Coconut Milk,Strawberries & Creme Frappuccino Blended Beverage,Coconut,No Whip,170,2,2,0,0,140,37,0,35,0.3,0,6,2,2,0
Strawberries & Creme Frappuccino Blended Beverage with Coconut Milk and Whip,Strawberries & Creme Frappuccino Blended Beverage,Coconut,Whip,250,10,7,0.2,30,150,39,0,38,1,10,6,2,2,0
Vanilla Bean Creme Frappuccino Blended Creme with Nonfat Milk,Vanilla Bean Creme Frappuccino Blended Creme,Nonfat,No Whip,170,0.1,0.1,0,0,160,39,0,38,4,6,0,10,0,0
Vanilla Bean Creme Frappuccino Blended Creme with Nonfat Milk and Whip,Vanilla Bean Creme Frappuccino Blended Creme,Nonfat,Whip,250,8,5,0.2,30,170,41,0,40,4,15,0,15,0,0
Vanilla Bean Creme Frappuccino Blended Creme with 2% Milk,Vanilla Bean Creme Frappuccino Blended Creme,2% Milk,No Whip,190,2,1,0.1,10,170,39,0,38,4,6,0,10,0,0
Vanilla Bean Creme Frappuccino Blended Creme with 2% Milk  and Whip,Vanilla Bean Creme Frappuccino Blended Creme,2% Milk,Whip,270,10,6,0.3,40,170,41,0,39,4,15,0,15,0,0
Vanilla Bean Creme Frappuccino Blended Creme with Whole Milk,Vanilla Bean Creme Frappuccino Blended Creme,Whole,No Whip,200,3.5,2,0.1,10,160,39,0,38,3,6,0,10,0,0
Vanilla Bean Creme Frappuccino Blended Creme with Whole Milk and Whip,Vanilla Bean Creme Frappuccino Blended Creme,Whole,Whip,280,11,7,0.3,40,170,41,0,39,4,15,0,10,0,0
Vanilla Bean Creme Frappuccino Blended Creme with Soy Milk,Vanilla Bean Creme Frappuccino Blended Creme,Soy,No Whip,180,1.5,0.2,0,0,160,37,1,35,3,4,0,10,6,0
Vanilla Bean Creme Frappuccino Blended Creme with Soy Milk and Whip,Vanilla Bean Creme Frappuccino Blended Creme,Soy,Whip,260,10,5,0.2,30,160,39,1,37,3,15,0,15,6,0
Vanilla Bean Creme Frappuccino Blended Creme with Coconut Milk,Vanilla Bean Creme Frappuccino Blended Creme,Coconut,No Whip,170,2.5,2,0,0,160,37,0,36,0.2,0,0,0,0,0
Vanilla Bean Creme Frappuccino Blended Creme with Coconut Milk and Whip,Vanilla Bean Creme Frappuccino Blended Creme,Coconut,Whip,250,10,7,0.2,30,160,39,0,38,1,10,0,2,0,0
Caramel Apple Spice,Caramel Apple Spice,,No Whip,210,0,0,0,0,15,53,0,49,0,0,0,0,0,0
Caramel Apple Spice and Whip,Caramel Apple Spice,,Whip,300,7,4.5,0.2,25,30,59,0,55,0.4,8,0,2,0,0
Hot Chocolate with Nonfat Milk,Hot Chocolate,Nonfat,No Whip,210,2,1,0,5,110,37,3,32,11,15,0,30,25,20
Hot Chocolate with Nonfat Milk and Whip,Hot Chocolate,Nonfat,Whip,280,8,5,0.2,30,115,40,3,34,11,25,0,30,25,20
Hot Chocolate with 2% Milk,Hot Chocolate,2% Milk,No Whip,250,7,4.5,0.2,20,125,37,3,32,11,15,0,30,25,20
Hot Chocolate with 2% Milk and Whip,Hot Chocolate,2% Milk,Whip,320,13,8,0.4,45,130,39,3,34,11,20,2,30,25,20
Hot Chocolate with Whole Milk,Hot Chocolate,Whole,No Whip,280,10,6,0.3,25,110,37,3,32,10,10,0,30,25,20
Hot Chocolate with Whole Milk and Whip,Hot Chocolate,Whole,Whip,350,16,10,0.4,50,120,39,3,34,11,20,0,30,25,20
Hot Chocolate with Soy Milk,Hot Chocolate,Soy,No Whip,220,6,1.5,0,0,95,32,4,25,9,10,0,30,40,20
Hot Chocolate with Soy Milk and Whip,Hot Chocolate,Soy,Whip,290,12,5,0.2,25,100,35,4,28,9,15,0,30,40,20
Hot Chocolate with Coconut Milk,Hot Chocolate,Coconut,No Whip,210,8,7,0,0,110,33,3,28,3,0,0,2,25,20
Hot Chocolate with Coconut Milk and Whip,Hot Chocolate,Coconut,Whip,280,14,10,0.2,25,115,36,3,31,3,6,0,2,25,20
Lemonade,Lemonade,,,80,0,0,0,0,0,21,0,21,0.1,0,25,0,0,0
Milk with Nonfat Milk,Milk,Nonfat,,140,0.3,0.2,0,10,170,20,0,20,14,25,0,45,0,0
Milk with 2% Milk,Milk,2% Milk,,200,8,4,0.2,30,190,19,0,19,13,20,2,45,0,0
Milk with Whole Milk,Milk,Whole,,240,13,7,0.4,40,170,19,0,19,13,20,0,40,0,0
Milk with Soy Milk,Milk,Soy,,160,6,1,0,0,150,13,2,10,11,15,0,45,20,0
Milk with Coconut Milk,Milk,Coconut,,130,9,8,0,0,160,13,0,13,1,0,0,0,0,0
Skinny Hot Chocolate with Nonfat Milk,Skinny Hot Chocolate,Nonfat,,130,1.5,1,0.1,5,125,18,3,13,11,15,0,30,45,0
Steamed Apple Juice,Steamed Apple Juice,,,170,0,0,0,0,15,44,0,39,0,0,0,0,0,0
Steamed Milk with Nonfat Milk,Steamed Milk,Nonfat,,110,0.2,0.2,0,5,130,15,0,15,10,20,0,35,0,0
Steamed Milk with 2% Milk,Steamed Milk,2% Milk,,160,6,3,0.2,25,150,15,0,15,10,15,2,35,0,0
Steamed Milk with Whole Milk,Steamed Milk,Whole,,190,10,6,0.3,30,135,15,0,15,10,15,0,30,0,0
Steamed Milk with Soy Milk,Steamed Milk,Soy,,120,4.5,0.5,0,0,110,9,1,7,8,10,0,35,15,0
Steamed Milk with Coconut Milk,Steamed Milk,Coconut,,110,7,7,0,0,130,11,0,11,1,0,0,0,0,0
Vanilla Steamer with Nonfat Milk,Vanilla Steamer,Nonfat,,160,0.2,0.2,0,5,120,29,0,29,10,20,0,30,0,0
Vanilla Steamer with 2% Milk,Vanilla Steamer,2% Milk,,200,6,3,0.2,25,135,28,0,28,10,15,0,30,0,0
Vanilla Steamer with Whole Milk,Vanilla Steamer,Whole,,230,9,5,0.3,30,125,28,0,28,9,15,0,30,0,0
Vanilla Steamer with Soy Milk,Vanilla Steamer,Soy,,170,4.5,0.5,0,0,105,23,1,21,8,10,0,30,15,0
Vanilla Steamer with Coconut Milk,Vanilla Steamer,Coconut,,160,7,6,0,0,125,25,0,24,1,0,0,0,0,0
White Hot Chocolate with Nonfat Milk,White Hot Chocolate,Nonfat,No Whip,270,4.5,3.5,0,10,190,46,0,46,12,15,2,40,0,0
White Hot Chocolate with Nonfat Milk and Whip,White Hot Chocolate,Nonfat,Whip,330,11,7,0.2,30,200,48,0,47,12,25,2,40,0,0
White Hot Chocolate with 2% Milk,White Hot Chocolate,2% Milk,No Whip,310,9,6,0.2,25,200,46,0,46,12,15,2,40,0,0
White Hot Chocolate with 2% Milk and Whip,White Hot Chocolate,2% Milk,Whip,370,16,10,0.3,45,210,48,0,47,12,20,2,40,0,0
White Hot Chocolate with Whole Milk,White Hot Chocolate,Whole,No Whip,340,13,8,0.3,30,190,46,0,46,11,10,2,35,0,0
White Hot Chocolate with Whole Milk and Whip,White Hot Chocolate,Whole,Whip,400,19,12,0.4,55,200,48,0,47,11,20,2,35,0,0
White Hot Chocolate with Soy Milk,White Hot Chocolate,Soy,No Whip,280,8,4,0,5,180,41,1,39,10,10,2,40,15,0
White Hot Chocolate with Soy Milk and Whip,White Hot Chocolate,Soy,Whip,340,14,8,0.2,25,180,43,1,40,10,15,2,40,15,0
White Hot Chocolate with Coconut Milk,White Hot Chocolate,Coconut,No Whip,270,10,9,0,5,190,42,0,42,3,0,2,10,0,0
White Hot Chocolate with Coconut Milk and Whip,White Hot Chocolate,Coconut,Whip,330,16,13,0.2,25,190,44,0,43,4,6,2,10,0,0
Sweetened Whipped Cream,Sweetened Whipped Cream,,,60,6,4,0.2,20,5,2,0,1,0.3,6,0,0,0,0
Sweetened Whipped Cream,Sweetened Whipped Cream,,,80,8,5,0.2,30,10,2,0,2,0.4,10,0,2,0,0
Flavoured Syrup,Flavoured Syrup,,,20,0,0,0,0,0,5,0,5,0,0,0,0,0,0
Flavoured Sugar-Free Syrup,Flavoured Sugar-Free Syrup,,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Mocha Syrup,Mocha Syrup,,,35,0.5,0,0,0,0,7,1,5,1,0,0,0,6,5
Mocha Drizzle,Mocha Drizzle,,,10,0.5,0.1,0,0,0,1,0,1,0.2,0,0,0,2,0
Caramel Drizzle,Caramel Drizzle,,,15,0,0.3,0,0,4,2,0,2,0,0,0,0,0,0
Espresso Shot,Espresso Shot,,,5,0.1,0,0,0,0,1,0,0,0.4,0,0,0,0,75
Matcha Green Tea Powder,Matcha Green Tea Powder,,,25,0.1,0,0,0,0,6,0,5,0.3,0,4,0,2,25
Protein & Fibre Powder,Protein & Fibre Powder,,,30,0.1,0.1,0,0,45,1,1,0,6,0,0,0,2,0
